S.No,University Name,State/UT,Type,Year Established
100,Nalanda University,Bihar,Central University,2010.0
101,Nalanda Open University,Bihar,State University,1995.0
102,Nava Nalanda Mahavihara,Bihar,Deemed University,2006.0
103,Patna University,Bihar,State University,1917.0
104,Patliputra University,Bihar,State University,2018.0
105,Purnea University,Bihar,State University,2016.0
106,Dr. Rajendra Prasad Central Agricultural University,Bihar,Central University,1970.0
107,Sandip University,Bihar,Private University,2017.0
108,T.M. University,Bihar,State University,1960.0
109,Veer Kunwar Singh University,Bihar,State University,1994.0
110,Al-Karim University,Bihar,Private University,2018.0
111,AAFT University of Media and Arts,Chhattisgarh,Private University,2018.0
112,Amity University,Chhattisgarh,Private University,2014.0
113,Ayush and Health Sciences University of Chhattisgarh,Chhattisgarh,State University,2008.0
114,Bharti Vishwavidyalaya,Chhattisgarh,Private University,2021.0
115,Atal Bihari Vajpayee Vishwavidyalaya,Chhattisgarh,State University,2012.0
116,Chhattisgarh Kamdhenu Vishwavidyalaya,Chhattisgarh,State University,2011.0
117,Chhattisgarh Swami Vivekanand Technical University,Chhattisgarh,State University,2004.0
118,Dev Sanskriti Vishwavidyalaya,Chhattisgarh,Private University,2018.0
119,Dr. C.V. Raman University,Chhattisgarh,Private University,2006.0
120,Durg Vishwavidyalaya,Chhattisgarh,State University,2015.0
121,Guru Ghasidas Vishwavidyalaya,Chhattisgarh,Central University,1983.0
122,Hidayatullah National Law University,Chhattisgarh,State University,2003.0
123,ICFAI University,Chhattisgarh,Private University,2011.0
124,International Institute of Information Technology,Chhattisgarh,State University,2014.0
125,ISBM University,Chhattisgarh,Private University,2016.0
126,Indira Gandhi Krishi Vishwavidyalaya,Chhattisgarh,State University,1987.0
127,Indira Kala Sangeet Vishwavidyalaya,Chhattisgarh,State University,1956.0
128,ITM University,Chhattisgarh,Private University,2012.0
129,K.K. Modi University,Chhattisgarh,Private University,2018.0
130,Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya,Chhattisgarh,State University,2004.0
131,Kalinga University,Chhattisgarh,Private University,2011.0
132,Maharishi University of Management and Technology,Chhattisgarh,Private University,2018.0
133,Mahatma Gandhi Udyanikee Evam Vanikee Vishwavidyalaya,Chhattisgarh,State University,2020.0
134,MATS University,Chhattisgarh,Private University,2006.0
135,O.P. Jindal University,Chhattisgarh,Private University,2014.0
136,Pt. Ravishankar Shukla University,Chhattisgarh,State University,1964.0
137,Pandit Sundar Lal Sharma (Open) University Chhatisgarh,Chhattisgarh,State University,2004.0
138,Sant Gahira Guru Vishwavidyalaya,Chhattisgarh,State University,2008.0
139,Shaheed Mahendra Karma Vishwavidyalaya,Chhattisgarh,State University,2008.0
140,Shaheed Nandkumar Patel Vishwavidyalaya,Chhattisgarh,State University,2020.0
141,Shri Rawatpura Sarkar University,Chhattisgarh,Private University,2018.0
142,Shri Shankaracharaya Professional University,Chhattisgarh,Private University,2020.0
143,Goa University,Goa,State University,1985.0
144,India International University of Legal Education and Research,Goa,Private University,2022.0
145,Adani University,Gujarat,Private University,2022.0
146,Ahmedabad University,Gujarat,Private University,2009.0
147,Anand Agricultural University,Gujarat,State University,2004.0
148,Anant National University,Gujarat,Private University,2016.0
149,Atmiya University,Gujarat,Private University,2018.0
150,AURO University of Hospitality and Management,Gujarat,Private University,2011.0
