S.No,University Name,State/UT,Type,Year Established
1504,"OPJS University, Rawatsar, Kunjila, Tehsil-Rajgarh, Distt. – Churu,",Unknown,Unknown,
1505,"Pacific Academy of Higher Education & Research University, (PAHER),",Unknown,Unknown,
1506,"313 024, Rajasthan. (Private University).",Unknown,Unknown,
1507,"Pacific Medical University, Bhilo Ka Bedla, Bye Pass, National",Unknown,Unknown,
1508,"Highway 27, Udaipur, Rajasthan. (Private University)",Unknown,Unknown,
1509,Pandit Deendayal Upadhyaya Shekhawati University (Formerly,Unknown,Unknown,
1510,"Shekhawati University), Girls Hostel Building, Behind Shri Kalyan",Unknown,Unknown,
1511,"Government College, Sikar – 332001, Rajasthan. (State University)",Unknown,Unknown,
1512,"Poornima University, Ramchandrapura, Sitapura Extension, Jaipur,",Unknown,Unknown,
1513,"Pratap University, Sunderpura (Chandwaji), Amer, Delhi-Mumbai",Unknown,Unknown,
1514,"Highway, Jaipur, Rajasthan (Private University)",Unknown,Unknown,
1515,"Raffles University, Japanese Zone, National Highway 8, Neemrana-201",Unknown,Unknown,
1516,"705, Rajasthan. (Private University)",Unknown,Unknown,
1517,"Rajasthan Agricultural University, Beechwal, Srinagangar Road,",Unknown,Unknown,
1518,"Bikaner-334 006, Rajasthan. (State University).",Unknown,Unknown,
1519,"Rajasthan Ayurveda University, Jodhpur (State University)",Unknown,Unknown,
1520,"Rajasthan Technical University, Akelgarh, Rawat bhata Road, Kota –",Unknown,Unknown,
1521,"324 010, Rajasthan. (State University)",Unknown,Unknown,
1522,"Rajasthan University of Health Sciences, B – 1, Swai Man Singh Road",Unknown,Unknown,
1523,"(Opp SMS Hospital), Jaipur (State University)",Unknown,Unknown,
1524,"Rajasthan University of Veterinary & Animal Sciences, Bikaner,",Unknown,Unknown,
1525,Rajasthan. (State University),Unknown,Unknown,
1526,"Rajasthan ILD Skills University (RISU), Hotel Khasa Kothi Campus,",Unknown,Unknown,
1527,"M.I.Road, Jaipur- 302001, Rajasthan.  (State University)",Unknown,Unknown,
1528,"Raj Rishi Bhartrihari Matsya University, Girls Hostel Building, Babu",Unknown,Unknown,
1529,"Shobharam Government Arts College Campus, Alwar, Rajasthan.",Unknown,Unknown,
1530,"R.N.B. Global University, RNB Global City, Ganganagar Road, Bikaner-",Unknown,Unknown,
1531,"334601, Rajasthan. (Private University)",Unknown,Unknown,
1532,"Sai Tirupati University, Ambua Road, Village – Umarda, Girwa,",Unknown,Unknown,
1533,"Udaipur – 313015, Rajasthan.  (Private University)",Unknown,Unknown,
1534,"Sangam University, Bhilwara, Rajasthan.  (Private University)",Unknown,Unknown,
1535,"Sardar Patel University of Police, Security & Criminal Justice, Jodhpur,",Unknown,Unknown,
1536,"Shri Jagdish Prasad Jhabarmal Tibrewala University, Vidya Nagari,",Unknown,Unknown,
1537,Rajasthan.(Private University),Unknown,Unknown,
1538,"Shridhar University, Pilani Chirawa Road, Pilani Rajasthan - 333 031.",Unknown,Unknown,
1539,"(Chittorgarh), Rajasthan (Private University)",Unknown,Unknown,
1540,"Shri Khushal Das University, Suratgarh Road, Near Toll Plaza,",Unknown,Unknown,
1541,"Dablirathan, Hanumangarh- 335801, Rajasthan (Private University)",Unknown,Unknown,
1542,"Shyam University, Lalsot, Dist- Dausa, Rajasthan- 303511 (Private",Unknown,Unknown,
1543,"Singhania University, Pacheri Bari, Dt. Jhunjunu - 333515, Rajasthan.",Unknown,Unknown,
1544,"Sir Padmapat Singhania University, Bhatewar Udaipur– 313 601,",Unknown,Unknown,
1545,"Suresh Gyan Vihar University, Mahal, Jagatpura, Jaipur-302017,",Unknown,Unknown,
1546,Rajasthan. (PrivateUniversity),Unknown,Unknown,
1547,"Sunrise University, Bagad Rajput, Tech. Ramgarh, Alwar, Rajasthan",Unknown,Unknown,
1548,"Tantia University, Hanumangarh Road, Sri Ganganagar – 335 002,",Unknown,Unknown,
1549,"University of Kota, Near Kabir Circle, MBS Marg, Kota-324005,",Unknown,Unknown,
1550,Rajasthan. (Rajasthan) (State University),Unknown,Unknown,
1551,"University of Engineering & Management, Jaipur - 303807, Rajasthan.",Unknown,Unknown,
1552,"University of Rajasthan, JLN Marg, Jaipur-302 004, Rajasthan.",Unknown,Unknown,
1553,"University of Technology, Vatika, Tehsil – Sanganer, Jaipur - 303903,",Unknown,Unknown,
1554,"Vardhman Mahaveer Open University, Rawat Bhata Road, Kota-324",Unknown,Unknown,
1555,"010, Rajasthan. (State University)",Unknown,Unknown,
1556,"Vivekananda Global University, Sector-36, NRI Road, Sisyawas,",Unknown,Unknown,
1557,"Jagatpura, Jaipur – 303012, Rajasthan.  (Private University)",Unknown,Unknown,
1558,"Medhavi Skills University, Sikkim, Singtam Campus Topakhani Lower",Unknown,Unknown,
1559,"Sikkim Alpine University (Formerly EIILM University), Kamrang,",Unknown,Unknown,
1560,"Namchi, Dist - South Sikkim – 737126 (Private University)",Unknown,Unknown,
1561,"Sikkim International University, P.O Sribadam, P.S. Kaluk, West Sikkim",Unknown,Unknown,
1562,– 737 121  (Private University),Unknown,Unknown,
1563,"Sikkim Manipal University, 5th mile, PO Tadong, Gangtok-737 102,",Unknown,Unknown,
1564,Sikkim  (Private University),Unknown,Unknown,
1565,"Sikkim National Law University, Sikkim Government Law College,",Unknown,Unknown,
1566,"Burtuk (Campus), Gangtok – 737101 Sikkim (State University)",Unknown,Unknown,
1567,"Sikkim Skill University, Namthang, South Sikkim, Sikkim-737137",Unknown,Unknown,
1568,"Khangchendzonga State University (Formerly Sikkim State University),",Unknown,Unknown,
1569,"Gangtok East Sikkim, Tadong-737102, Sikkim (State University)",Unknown,Unknown,
1570,"Sikkim University, 6th Mile, Samdur, PO Tadong, Gangtok, Sikkim –",Unknown,Unknown,
1571,737102 (Central University),Unknown,Unknown,
1572,"Shri Ramasamy Memorial University, 5th Mile, Tadong, Ranipool PO,",Unknown,Unknown,
1573,"Gangtok, Sikkim – 737 102. (Private University)",Unknown,Unknown,
1574,Sikkim Professional University (Formerly Vinayaka Missions Sikkim,Unknown,Unknown,
1575,"University), Plot No. 438, N-312 Sang Phatak Road, Middle Tadong,",Unknown,Unknown,
1576,"PO Daragaorn, Tadong, East Sikkim – 237 102. (Private University)",Unknown,Unknown,
1577,"The Institute of Chartered Financial Analysts of India University, (ICFAI)",Unknown,Unknown,
1578,"Kanathur, Chennai-603112, Tamil Nadu. (Deemed University)",Unknown,Unknown,
1579,"Alagappa University, Alagappapuram, Karaikudi-630003, Sivaganga",Unknown,Unknown,
1580,"District, Taml Nadu. (State University)",Unknown,Unknown,
1581,"112, Tamil Nadu. (Deemed University)",Unknown,Unknown,
1582,"Anna University, Sardar Patel Road, Guindy, Chennai-600 025, Tamil",Unknown,Unknown,
1583,Nadu. (State University),Unknown,Unknown,
1584,"Annamalai University, Annamalainagar-608 002, Chidambaram Tk,",Unknown,Unknown,
1585,Tamil Nadu. (State University),Unknown,Unknown,
1586,Avinashilingam Institute for Home Science & Higher Education for,Unknown,Unknown,
1587,"Women, Coimbatore-641 043, Tamil Nadu. (Deemed University)",Unknown,Unknown,
1588,"B.S. Abdur Rahman Crescent Institute of Science and Technology,",Unknown,Unknown,
1589,Nadu. (Deemed University),Unknown,Unknown,
1590,"Bharath Institute of Higher Education & Research, 173, Agharam Road,",Unknown,Unknown,
1591,"Selaiyur, Chennai-600073, Tamil Nadu.  (Deemed University)",Unknown,Unknown,
1592,"Bharathiar University, Maruthamalai Main Road, Coimbatore-641 046,",Unknown,Unknown,
1593,Tamil Nadu. (State University).,Unknown,Unknown,
1594,"Bharathidasan University, Palkalaiperur, Tiruchirappalli-620 024, Tamil",Unknown,Unknown,
1595,Nadu. (State University).,Unknown,Unknown,
1596,"Central University of Tamil Nadu, C/o Collectorate Annexe, Tiruvarur –",Unknown,Unknown,
1597,"610 001, Tamil Nadu (Central University)",Unknown,Unknown,
1598,"Chennai Mathematical Institute, Plot Nos. D-19 & D-20, SIPCOT IT",Unknown,Unknown,
1599,"Park, Padur Post, Siruseri – 603 103, Tamil Nadu.(Deemed University)",Unknown,Unknown,
1600,Nadu.(Deemed University),Unknown,Unknown,
1601,"Dhanalakshmi Srinivasan University, Samayapuram, Tiruchirapalli,",Unknown,Unknown,
1602,Tamil Nadu- 621112 (Private University),Unknown,Unknown,
1603,"Dr. M.G.R. Educational and Research Institute, Periyar, EVR High",Unknown,Unknown,
1604,"095, Tamil Nadu. (Deemed University)",Unknown,Unknown,
1605,"Gandhigram Rural Institute, Gandhigram-624 302, Dindigul District,",Unknown,Unknown,
1606,Tamil Nadu. (Deemed University),Unknown,Unknown,
1607,"Hindustan Institute of Technology and Science (HITS), No. 1, Gandhi",Unknown,Unknown,
1608,"603103, Tamil Nadu. (Deemed University)",Unknown,Unknown,
1609,"Indian Maritime University, East Coast Road, Uthandi, Chennai – 600",Unknown,Unknown,
1610,"119, Tamil Nadu. (Central University)",Unknown,Unknown,
1611,"Jeppiaar University, Rajiv Gandhi Salai, Chennai – 600119, Tamil Nadu",Unknown,Unknown,
1612,Tamilnadu. (Deemed University),Unknown,Unknown,
1613,"Coimbatore, (Deemed University)",Unknown,Unknown,
1614,"Karunya Institute of Technology and Sciences, Karunya Nagar,",Unknown,Unknown,
1615,"Coimbatore-641 114, Tamil Nadu. (Deemed University)",Unknown,Unknown,
1616,"Madurai Kamraj University, Palkalai Nagar, -625 021, Tamil Nadu.",Unknown,Unknown,
1617,"Manonmaniam Sundarnar University, Abishekapatti, Thirunelveli-627",Unknown,Unknown,
1618,"012, Tamil Nadu. (State University)",Unknown,Unknown,
1619,"Mother Teresa Women’s University, Anandhagiri IV Street, Kodaikanal,",Unknown,Unknown,
1620,"Dindigul Dt.-624 102, Tamil Nadu. (State University).",Unknown,Unknown,
1621,"Kanyakumari District,  Tamil Nadu – 629 175. (Deemed University).",Unknown,Unknown,
1622,"Periyar Maniammai Institute of Science & Technology (PMIST), Periyar",Unknown,Unknown,
1623,"Nagar, Vallam, Thanjavur -613 403, Tamil Nadu (Deemed University)",Unknown,Unknown,
1624,"Periyar University, Periyar Palkalai Nagar, Salem-636 011, Tamil Nadu.",Unknown,Unknown,
1625,"Ponnaiyah Ramajayam Institute of Science & Technology (PRIST),",Unknown,Unknown,
1626,"Sai University, City Campus, SSPDL Tower, 4th Floor, Beta Block,",Unknown,Unknown,
1627,"Navalur, OMR Road, Chennai, Tamil Nadu (Private University)",Unknown,Unknown,
1628,Institute,Unknown,Unknown,
1629,"Sathyabama Institute of Science and Technology, Jeppiaar Nagar,",Unknown,Unknown,
1630,"Saveetha Institute of Medical and Technical Sciences, No. 162,",Unknown,Unknown,
1631,"Shiv Nadar University, Rajiv Gandhi Salai (OMR), Kalavakkam-",Unknown,Unknown,
1632,"603110, Tamil Nadu (Private University)",Unknown,Unknown,
1633,"Kancheepuram-631 561, Tamil Nadu. (Deemed University)",Unknown,Unknown,
1634,"Sri Ramachandra Medical College and Research Institute, 1,",Unknown,Unknown,
1635,"St.  Peter’s Institute of Higher Education and Research, Chennai.",Unknown,Unknown,
1636,"Tamil Nadu Teacher Education University, Lady Willingdon College",Unknown,Unknown,
1637,"Tamil University, Thanjavur-613 010, Tamil Nadu. (State University).",Unknown,Unknown,
1638,(StateUniversity).,Unknown,Unknown,
1639,"Tamilnadu Dr. Ambedkar Law University, “Poompozhil, #5, Dr. D.G.S.",Unknown,Unknown,
1640,"Dhinakaran Salai, Chennai-600 028, Tamil Nadu. (State University).",Unknown,Unknown,
1641,"Tamilnadu Dr. M.G.R. Medical University, No. 69, Anna Salai, Guindy,",Unknown,Unknown,
1642,"Chennai-600 032, Tamil Nadu. (State University).",Unknown,Unknown,
1643,"Tamilnadu Fisheries University, First Linebeach Road, Nagapattinam –",Unknown,Unknown,
1644,"611001, Tamilnadu. (State University)",Unknown,Unknown,
1645,"Tamilnadu Music and Fine Arts University, Dr. D.G.S. Dinakaran Salai,",Unknown,Unknown,
1646,Chennai – 600028.(State University),Unknown,Unknown,
1647,"Tiruchirapalli – 620 009, Tamilnadu. (State University)",Unknown,Unknown,
1648,"Tamilnadu Open University, No. 577, Anna Salai, Saidapet, Chennai-",Unknown,Unknown,
1649,"600 015, Tamil Nadu. (State University).",Unknown,Unknown,
1650,"Tamilnadu Physical Education and Sports University, 8th Floor, EVA",Unknown,Unknown,
1651,"Sampat Maaligai, College Road, Chennai, Tamil Nadu. (State",Unknown,Unknown,
1652,"Tamilnadu Veterinary & Animal Sciences University, Madhavaram Milk",Unknown,Unknown,
1653,"Colony, Chennai-600051, Tamil Nadu. (State University).",Unknown,Unknown,
1654,"Thiruvalluvar University, Serkkadu, Vellore-632 115, Tamil Nadu.",Unknown,Unknown,
1655,"University of Madras, Chepauk, Chennai-600 005, Tamil Nadu.",Unknown,Unknown,
1656,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and,Unknown,Unknown,
1657,"Vel’s Institute of Science, Technology & Advanced Studies (VISTAS),",Unknown,Unknown,
1658,"Vellore Institute of Technology, Katpadi Thiruvalam Road, Vellore-632",Unknown,Unknown,
1659,"014, Tamil Nadu. (Deemed University)",Unknown,Unknown,
1660,"Ariyanoor, Salem-636308, Tamil Nadu. (Deemed University)",Unknown,Unknown,
1661,"Anurag University, Venkatapur (V), Ghatkesar (M), Medchal (Dist),",Unknown,Unknown,
1662,"Hyderabad, Telangana- 500088 (Private University)",Unknown,Unknown,
1663,"500 013, Telangana (Deemed to be University)",Unknown,Unknown,
1664,"Chaitanya (Deemed to be University), Hanamkonda, Telangana",Unknown,Unknown,
1665,"Dr. B.R. Ambedkar Open University, Prof. G. Ram Reddy Marg, Road",Unknown,Unknown,
1666,"Road, Hyderabad-501203, Telangana. (Deemed University)",Unknown,Unknown,
1667,"International Institute of Information Technology, Prof. C.R. Road,",Unknown,Unknown,
1668,"Gachibowli, Hyderabad-500032, Telangana. (Deemed University)",Unknown,Unknown,
1669,"Jawaharlal Nehru Architecture and Fine Arts University, Mahaveer",Unknown,Unknown,
1670,"Jawaharlal Nehru Technological University, Kukatpally, Hyderabad-500",Unknown,Unknown,
1671,"085, Telangana. (StateUniversity)",Unknown,Unknown,
1672,"Kakatiya University, Vidyaranyapuri, Hanamkonda, Warangal-506 009,",Unknown,Unknown,
1673,Telangana. (State University),Unknown,Unknown,
1674,"Kaloji Narayan Rao University of Health Sciences, Kakatia Medical",Unknown,Unknown,
1675,"Campus, Rangampet, Warangal-506007, Telangana.  (State University)",Unknown,Unknown,
1676,"Mahatma Gandhi University, Yellareddyugudem, Nalgonda – 508254,",Unknown,Unknown,
1677,Telangana (State University),Unknown,Unknown,
1678,"Mahindra University Bahadurpaly(V), Qudbullapur Mandal, Madchal-",Unknown,Unknown,
1679,"Malkajgiri District, Telangana (Private University)",Unknown,Unknown,
1680,"Malla Reddy University, Maisammaguda, Dhulapally (Post via",Unknown,Unknown,
1681,"Maulana Azad National Urdu University, Gachibowli, Hyderabad-",Unknown,Unknown,
1682,"NALSAR University of Law, ‘Justice’, Shameerpet, R.R. Dist.,",Unknown,Unknown,
1683,"Hyderabad-500101, Telangana.   (State University)",Unknown,Unknown,
1684,"Nizam’s Institute of Medical Sciences, Punjagutta, Hyderabad –",Unknown,Unknown,
1685,"500082, Telangana. (State University)",Unknown,Unknown,
1686,"Osmania University, Administratiave Building, Hyderabad-500 007,",Unknown,Unknown,
1687,Telangana. (StateUniversity),Unknown,Unknown,
1688,"PalamuruUniversity, Ayyappa Complex, Opp. Police Head Quarters,",Unknown,Unknown,
1689,"Mahabubnagar – 509 001, Telangana. (State University)",Unknown,Unknown,
1690,"Potti Sreeramulu Telugu University, Lalitha Kala Kshetram, Public",Unknown,Unknown,
1691,"Gardens, Nampally, Hyderabad-500 004, Telangana. (State University).",Unknown,Unknown,
1692,"(Formerly Archarya N.G Ranga Agricultural University), Rajendranagar,",Unknown,Unknown,
1693,"Rajiv Gandhi University of Knowledge Technologies, Basar (Vill & Mdl.)",Unknown,Unknown,
1694,"Distt. Nirmal, Hyderabad, Telangana- 504107. (State University)",Unknown,Unknown,
1695,"Satavahana University, Malkapur X Road, Chinthakunta, Karimnagar –",Unknown,Unknown,
1696,"505 002, Telangana. (State University)",Unknown,Unknown,
1697,"Rajendranagar, Hyderabad-500030, Telangana. (State University)",Unknown,Unknown,
1698,"P.V. Narsimha Rao Telangana Veterinary University, Rajendranagar,",Unknown,Unknown,
1699,Hyderabad – 500030.  (State University),Unknown,Unknown,
1700,"SR University, Ananthasagar (v), Hasanparthy(M), Warangal- 506371,",Unknown,Unknown,
1701,Telangana (Private University),Unknown,Unknown,
1702,"Telangana University, Dichpally, Nizamabad – 503 322, Telangana.",Unknown,Unknown,
1703,"The English and Foreign Languages University, Osmania University",Unknown,Unknown,
1704,"Campus, Hyderabad- 500007. (Central University)",Unknown,Unknown,
1705,"University of Hyderabad, Hyderabad-500 046.  (Central University)",Unknown,Unknown,
1706,"Woxsen University, Woxsen Campus, Kamkole, Sadasivpet, Medak",Unknown,Unknown,
1707,"District, Telangana (Private University)",Unknown,Unknown,
1708,"The ICFAI University, Agartala -Simna Road, PO: Kamalghat, West",Unknown,Unknown,
1709,"Tripura, Tripura – 799210. (Private University)",Unknown,Unknown,
1710,"Maharaja Bir Bikram University, Agartala, Tripura. (State University)",Unknown,Unknown,
1711,"Tripura University, Suryamaninagar, Agartala-799 130, Tripura.",Unknown,Unknown,
1712,"Aligarh Muslim University, Aligarh-202 002. (Central University)",Unknown,Unknown,
1713,Prof. Rajendra Singh (Rajju Bhaiya) University (Formerly Allahabad,Unknown,Unknown,
1714,"State University, Allahabad), CPI Parisar, Civil Lines, Prayagraj, Uttar",Unknown,Unknown,
1715,"Amity University, Sector – 125, Noida- 201313, Uttar Pradesh (Private",Unknown,Unknown,
1716,"Atal Bihari Vajpayee Medical University, Uttar Pradesh, 9th Floor,",Unknown,Unknown,
1717,"Academic Block, Dr. Ram Manohar Lohia Institute of Medical Sciences,",Unknown,Unknown,
1718,"Vibhuti Khand, Lucknow- 226210, Uttar Pradesh (State University)",Unknown,Unknown,
1719,"Babasaheb Bhimrao Ambedkar University, Vidya Vihar, Raebareilly",Unknown,Unknown,
1720,"Road, Lucknow-226 025, Uttar Pradesh. (Central University)",Unknown,Unknown,
1721,"Banaras Hindu University, Varanasi-221 005, Uttar Pradesh.",Unknown,Unknown,
1722,"Banda University of Agriculture & Technology, Banda – 210001, Uttar",Unknown,Unknown,
1723,"Bareilly International University, Rohilkhand Medical College Campus,",Unknown,Unknown,
1724,"Bennett University, Plot No. 8-11, Tech Zone II, Greater Noida –",Unknown,Unknown,
1725,"201301, Uttar Pradesh.  (Private University)",Unknown,Unknown,
1726,"Bhatkhande Music Institute, Kaiserbag, Lucknow-226 001",Unknown,Unknown,
1727,"Bundelkhand University, Kanpur Road, Jhansi-284 128, Uttar Pradesh.",Unknown,Unknown,
1728,"Babu Banarasi Das University, 55, Babu Banarasi Das Nagar,",Unknown,Unknown,
1729,"Lucknow, Uttar Pradesh. (Private University)",Unknown,Unknown,
1730,"Central Institute of Higher Tibetan Studies, Sarnath, Varanasi-221 007.",Unknown,Unknown,
1731,"Chandra Shekhar Azad University of Agriculture & Technology, Nawab",Unknown,Unknown,
1732,"Ganj, Kanpur-208 002, Uttar Pradesh. (State University).",Unknown,Unknown,
1733,"Chhatrapati Shahu Ji Maharaj University, Kanpur (Formerly Kanpur",Unknown,Unknown,
1734,"University, Kanpur) Kalyanpur, Kanpur-208024, Uttar Pradesh. (State",Unknown,Unknown,
1735,"Choudhary Charan Singh University (Formerly Meerut University),",Unknown,Unknown,
1736,"Meerut-250 005, Uttar Pradesh (State University).",Unknown,Unknown,
1737,"Dayalbagh Educational Institute, Dayalbagh, Agra-282 005, Uttar",Unknown,Unknown,
1738,Pradesh. (Deemed University),Unknown,Unknown,
1739,"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur-273 009,",Unknown,Unknown,
1740,Uttar Pradesh. (State University).,Unknown,Unknown,
1741,Dr. A.P.J. Abdul Kalam Technical University (Formerly Uttar Pradesh,Unknown,Unknown,
1742,"Technical University) Sector- 11, Jankipuram Extension Yojna,",Unknown,Unknown,
1743,"Lucknow- 226031, Uttar Pradesh (State University)",Unknown,Unknown,
1744,"Dr Ram Manohar Lohia Awadh University, Allahabad Road, Faizabad-",Unknown,Unknown,
1745,"224 001, Uttar Pradesh. (State University).",Unknown,Unknown,
1746,"Dr. Ram Manohar Lohia Institute of Medical Sciences, Vibhuti Khand,",Unknown,Unknown,
1747,"Gomti Nagar, Lucknow- 226010, Uttar Pradesh (State University)",Unknown,Unknown,
1748,"Dr. B.R. Ambedkar University, Paliwal Park, Agra-282 002, Uttar",Unknown,Unknown,
1749,"Dr. Ram Manohar Lohiya National Law University, Sector –D-1, L.D.’A’,",Unknown,Unknown,
1750,Dr. Shakuntala Misra National Rehabilitation University (Formerly Uttar,Unknown,Unknown,
1751,"Era University, Sarfarazganj, Hardoi road, Lucknow-226003, Uttar",Unknown,Unknown,
1752,"F.S. University, NH-19, Near Balaji Mandir, Shikohabad, Dist Firozabad,",Unknown,Unknown,
1753,Uttar Pradesh (Private University),Unknown,Unknown,
1754,"G.L.A. University, 17 Km Stone, NH-2, Delhi-Mathura Road, PO",Unknown,Unknown,
1755,"Chaumuhan, Mathura-281406, Uttar Pradesh. (Private University).",Unknown,Unknown,
1756,"Galgotias University, Plot No. 2, Sector 17 A, Yamuna Expressway,",Unknown,Unknown,
1757,"Gautam Buddha University, Greater Noida, District-Gautam Budh",Unknown,Unknown,
1758,"Nagar,  Uttar Pradesh – 201 308. (State University)",Unknown,Unknown,
1759,"Harcourt Butler Technical University, Kanpur – 208002, Uttar Pradesh.",Unknown,Unknown,
1760,"IIMT University, O Pocket, Ganga Nagar, Mawana Road, Meerut –",Unknown,Unknown,
1761,"250001, Uttar Pradesh.  (Private University)",Unknown,Unknown,
1762,"IILM University, Plot No.16-18, Knowledge Park-II, Greater Noida -",Unknown,Unknown,
1763,"201308, Uttar Pradesh (Private University)",Unknown,Unknown,
1764,"Indian Veterinary Research Institute, Izatnagar-243 122, Uttar Pradesh.",Unknown,Unknown,
1765,"IFTM University, Lodhipur Rajput, Delhi Road, Moradabad – 244 102,",Unknown,Unknown,
1766,Uttar Pradesh. (Private University),Unknown,Unknown,
1767,"Integral University, Dasauli, PO Bas-ha, Kursi Road, Lucknow-226 026,",Unknown,Unknown,
1768,Uttar Pradesh. (Private University).,Unknown,Unknown,
1769,"Invertis University, Invertis Village, Bareilly-Lucknow National Highway-",Unknown,Unknown,
1770,"24, Bareilly-243123, Uttar Pradesh. (Private University)",Unknown,Unknown,
1771,"Jagadguru Rambhadracharya Handicapped university), Chitrakoot -",Unknown,Unknown,
1772,"210 204, Uttar Pradesh (Private University)",Unknown,Unknown,
1773,"Jannayak Chandrashekhar University, Ballia, Uttar Pradesh.  (State",Unknown,Unknown,
1774,"Jaypee Institute of Information Technology, A-10, Sector 62, Nodia-201",Unknown,Unknown,
1775,"307, Uttar Pradesh. (Deemed University).",Unknown,Unknown,
1776,"Jaypee University, Aligarh Road, Anoopshahar, Dist. Bulandshahar –",Unknown,Unknown,
1777,"203 390, Uttar Pradesh. (Private University)",Unknown,Unknown,
1778,"J.S. University, Shikohabad, Firozabad, Uttar Pradesh. (Private",Unknown,Unknown,
1779,"Khwaja Moinuddin Chishti Urdu, Arabi~Farsi University, Sitapur-Hardoi",Unknown,Unknown,
1780,"King George Medical University, Lucknow-226 003 (State University)",Unknown,Unknown,
1781,"Madan Mohan Malviya University of Technology, Gorakhpur – 273010,",Unknown,Unknown,
1782,Uttar Pradesh. (State University),Unknown,Unknown,
1783,"Maa Shakumbhari University, Saharanpur, Punwarka, Saharanpur –",Unknown,Unknown,
1784,"247 120, Uttar Pradesh (State University)",Unknown,Unknown,
1785,"Mahatma Jyotiba Phule Rohilkhand University, Dori Lal Agarwal Marg,",Unknown,Unknown,
1786,"Maharishi University of Information Technology, Maharishi Bal Vidya",Unknown,Unknown,
1787,"Mandir & University Campus, Sitapur Road, Post-Diburia, Lucknow –",Unknown,Unknown,
1788,"226 020,   Uttar Pradesh. (Private University)",Unknown,Unknown,
1789,"Mahayogi Gorakhnath University Gorakhpur, Arogya Dham, Balapur",Unknown,Unknown,
1790,"Mangalayatan University, 33rd Milestone, Aligarh-Mathura Highway, PO",Unknown,Unknown,
1791,"Beaswan, Aligarh-202145, Uttar Pradesh. (PrivateUniversity)",Unknown,Unknown,
1792,"Mohammad Ali Jauhar University, Rampur, UP. (Private University)",Unknown,Unknown,
1793,"Monad University, Kastla, PO Pilkhua, Kasmabad, Dt. Hapur-245101,",Unknown,Unknown,
1794,"Narendra Deo University of Agriculture & Technology, Narendra Nagar,",Unknown,Unknown,
1795,"Faizabad-224 229, Uttar Pradesh. (State University).",Unknown,Unknown,
1796,"221505,, Uttar Pradesh (Deemed University)",Unknown,Unknown,
1797,"Noida International University, Plot No.1, Sector 17-A, Yamuna",Unknown,Unknown,
1798,"Raja Mahendra Pratap Singh State University, Aligarh, Uttar Pradesh",Unknown,Unknown,
1799,"Rajiv Gandhi National Aviation University, Fursatganj, Dt. Raebareli,",Unknown,Unknown,
1800,Uttar Pradesh. (Central University),Unknown,Unknown,
1801,"Rama University, Rama City, G.T. Road, Mandhana, Kanpur – 209217,",Unknown,Unknown,
1802,"Rani Lakshmi Bai Central Agricultural University, NH-75, Near Pahuj",Unknown,Unknown,
1803,"Sam Higginbottom Institute of Agriculture, Technology & Sciences",Unknown,Unknown,
1804,"(Formerly Allahabad Agricultural Institute), P.O. Agricultural Institute,",Unknown,Unknown,
1805,"Rewa Road, Allahabad – 211 007, Uttar Pradesh. (Deemed University)",Unknown,Unknown,
1806,"Sanskriti University, 28 KM Stone, Mathura-Delhi Highway, Chhata,",Unknown,Unknown,
1807,"Mathura, Uttar Pradesh.  (Private University)",Unknown,Unknown,
1808,"Santosh, Santosh Nagar, Ghaziabad, U.P. (Deemed University)",Unknown,Unknown,
1809,"Sardar Vallabh Bhai Patel University of Agriculture & Technology,",Unknown,Unknown,
1810,Meerut-250 110 (State University),Unknown,Unknown,
1811,"Sharda University, Plot No. 32-34, Knowledge Park 3, Greater Noida-",Unknown,Unknown,
1812,"201306, Gautam Budh Nagar, Uttar Pradesh (Private University)",Unknown,Unknown,
1813,"Shiv Nadar (Institution of Eminence Deemed to be University), NH-91,",Unknown,Unknown,
1814,"Shobhit Institute of Engineering & Technology, Dulhera Marg, Roorkee",Unknown,Unknown,
1815,"Road, Meerut – 250010 Uttar Pradesh (Deemed University).",Unknown,Unknown,
1816,"Shobhit University, Adarsh Institutional Area, Babu Vijendra Marg,",Unknown,Unknown,
1817,"Shri Ramswaroop Memorial University, Hadauri, Deva-Lucknow Road,",Unknown,Unknown,
1818,"Dt. Barabanki, Uttar Pradesh. (Private University)",Unknown,Unknown,
1819,"Siddharth University, Kapilvastu, Siddharth Nagar – 272202, Uttar",Unknown,Unknown,
1820,"Swami Vivekanand Subharti University, Subhartipuram, NH-58, Delhi-",Unknown,Unknown,
1821,"Shri Venkateshwara University, NH-24, Rajabpur, Gajraula, J.P. Nagar,",Unknown,Unknown,
1822,"Teerthanker Mahaveer University, NH-24, Delhi Road, Moradabad-",Unknown,Unknown,
1823,"244001, Uttar Pradesh. (Private University).",Unknown,Unknown,
1824,"The Glocal University, Delhi-Yamunautri Marg, Akbarpur, Mizapur Pole,",Unknown,Unknown,
1825,"University of Lucknow, Lucknow-226007, Uttar Pradesh. (State",Unknown,Unknown,
1826,"United University, Rawatpur, Prayagraj, Uttar Pradesh – 211012",Unknown,Unknown,
1827,"U.P. King George’s University of Dental Science, Lucknow-226 003,",Unknown,Unknown,
1828,Uttar Pradesh (State University).,Unknown,Unknown,
